ID,Date,Location,Habitat_Type,Snorklers,Video_or_Pics_Taken,Survey_Start_Time,Survey_End_Time,Number_of_Seal_Sightings,Kelp_Height_1_m,Kelp_Height_2_m,Kelp_Height_3_m,Kelp_at_Surface,Kelp_Notes,Overall_Kelp_Health,Kelp_Blades,Pneumatocyst,Sorus,Senescence,Epibiont_Epifauna_and_Epiphyte_Notes,Bryozoan_Epibiont,Filamentous_Epiphyte,Macroalgae_Epiphyte,Kelp_Crab_Epifauna,Juvenile_Salmon_Notes,Chum,Coho,Pink,Cutthroat,Chinook,Unknown_Salmon,Herring,Sand_Lance ,Surf_Smelt ,Three_Spine_Stickleback ,Anchovy ,Unknown_Forage_Fish ,Forage_Fish_Notes,Additional_Notes_From_Map
14,04/12/2024,Portage Canal,Low Density Kelp,HD,Yes,15:00,15:33,2,1.0,2.0,,No,"Looked healthy, felt like bull kelp was more prevalent than last years survey.",5,5,5,1,5,Saw some kelp crabs on palm seaweed. ,5,5,5,5,Saw 1 chum,Yes,No,No,No,No,No,No,No,No,No,No,Yes,School of sub-larval unknown forage fish.,Saw the chum in the low density area closest to the rip rap area. 
15,04/12/2024,Portage Canal,Sandy Area,HD,Yes,15:00,15:33,0,1.0,2.0,,No,Kelp is farther away from shore,5,5,5,1,5,No growth seen,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
16,04/12/2024,Portage Canal,Rip Rap,HD,Yes,15:00,15:33,1,1.0,,,No,Saw several individuals in southern rip-rap,5,5,5,1,5,No growth seen,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,Acid leaf kelp very abundant in the rip rap area. 
18,04/19/2024,Portage Canal,High Density Kelp,HDKH,Yes,15:10,16:15,0,0.3,2.0,4.0,No,"Saw sargassum, the kelp in the intertidal look very unhealthly damaged blades and blub, looks like its already senescing and dying. ",4,4,4,2,4,Saw no growth.,5,5,5,5,"Saw pink salmon, school size 3m^3, they were feeding right at the surface in the inner edge of the kelp / at the lower intertidal. ",No,No,Yes,No,No,No,No,No,No,No,No,Yes,School size of unknown forage fish was 2m^3,"High density area in the lower intertidal/subtidal, kelp was good health. In the intertidal the kelp health seemed to decline to moderate health. Definite decline in kelp health through the channel. the kelp in the nearshore/intertidal were the most unhealthly with tissue damage, missing/damaged blades. Closer to shore = warmer temps + increased dessication/insolation stress?"
19,04/19/2024,Portage Canal,Low Density Kelp,HDKH,Yes,15:10,16:15,3,0.3,1.0,2.0,No,Looks more unhealthly than high density because of low tides and it going dry/warm.,3,3,4,3,4,Saw no growth.,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,Yes,"School size of unknown forage fish was 0.25m^3, and much more disperse. ",
20,04/19/2024,Portage Canal,Sandy Area,HDKH,Yes,15:10,16:15,0,0.3,1.0,2.0,No,Kelp on pipe had some damage but still looked good. Seemed like some of the larger kelp was missing but the visibility was poor... could have floated away? Kelp deeper looked healthier.,4,4,4,2,5,No growth seen,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen.,
21,04/19/2024,Portage Canal,Rip Rap,HDKH,Yes,15:10,16:15,0,0.3,1.0,1.5,No,Looked fairly healthly. Had some physical damage. ,4,4,4,1,5,None observed,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen.,
22,04/26/2024,Portage Canal,High Density Kelp,HD,Yes,12:38,13:30,2,0.3,2.0,4.0,Yes,"Kelp was at the surface during low tide out to about the marker buoy. Every size class is well represented, a large distribution of a spectrum of sizes between 0.33-4.0m. Kelp in shallow water was more unhealthy, i.e. missing all blades",4,4,4,1,4,Saw a few bull kelp pieces with brown filamentous algae growing. Saw way more kelp crabs on bull kelp clearly eating blades than last week. ,5,4,5,3,1 m^3 school of chinook or coho,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Unknown fish could very possibly be anchovy but was difficult to tell the difference between anchovy and herring underwater. ,"Saw a lot of pisasters, but much more in the low density area. No signs of mass wasting disease. A lot more red algae, i.e. turkish towel and rainbow seaweed, growing south of the bridge on rip rap. A lot of fish in the high density kelp area. Large schools of shiner perch, herring and sand lance observed. The kelp in the shallow nearshore was moderately damaged, with some having lost all blades. Our new hypothesis is that when kelp spores are seeding, some start growing too shallow to sustain a full healthly life cycle, so they begin to senescence prematurely when low tides begin, i.e. when the kelp has grown enough to be very cose to the surface. "
23,04/26/2024,Portage Canal,Low Density Kelp,HD,Yes,12:38,13:30,0,0.3,1.0,2.0,No,"Other seaweed/kelp species becoming much more prominent. Kelp observly not as large as the high density area. Had more kelp w/ fully missing blades. Blade ends have damage, but overall kelp looks pretty vibrant. ",4,3,4,1,5,"Saw kelp crabs on blades, a lot more than last week. ",5,5,5,3,Saw no salmon,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Multiple size classes of sand lance were everywhere. Saw herring just south of the bridge. ,
24,04/26/2024,Portage Canal,Sandy Area,HD,Yes,12:38,13:30,0,0.3,1.0,2.0,No,Kelp was less abundant than other sites but appeared in similar condition to low density area. Overall smaller in size. ,4,3,4,1,5,"Did see kelp crabs, but less kelp here overall. Kelp crabs coverage seemed pretty consistent throughout channel",5,5,5,3,Saw no salmon,No,No,No,No,No,No,No,Yes,No,No,No,No,Sand lance everywhere ,
25,04/26/2024,Portage Canal,Rip Rap,HD,Yes,12:38,13:30,0,0.3,0.5,1.0,No,"Way less bull kelp than other sites, alot of acid leaf kelp and 5-ribbed kelp. Bull kelp in a little worse health, i.e. missing blades, compared to other sites. ",4,3,4,1,5,Saw kelp crabs grazing. ,5,5,5,3,Saw no salmon,No,No,No,No,No,No,No,Yes,No,No,No,No,Sand lance everywhere ,
26,05/24/2024,Portage Canal,High Density Kelp,HDKH,Yes,13:00,13:50,0,0.5,4.0,5.0,,"Blades are disintegrating at the ends. Younger kelp are still popping up! Some bubls had one side damaged, looks like a bite was taken out. ",4,4,4,3,4,Kelp crabs present and seen throughout,5,5,5,3,"Coho and chum were 0.5m below surface. Cutthroat were 1-2m below surface. Need to verify with pohots the species. 1 unknown adult salmon, could be spring chinook. Chum and coho were in schools of <30. Cutthroat were in small schools 1-3 fish. ",Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Need to verify photos to determine species,
27,05/24/2024,Portage Canal,Low Density Kelp,HDKH,Yes,13:00,13:50,0,0.75,4.0,5.0,,"Was difficult to assess density because of the current and poor visibility. This area has more of those elongated, heart shaped pneunatocysts",4,4,4,3,4,Kelp crabs present and seen throughout,5,5,5,3,Same densities as high density kelp. ,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Need to verify photos to determine species,
28,05/24/2024,Portage Canal,Sandy Area,HDKH,Yes,13:00,13:50,0,1.0,2.0,,,Not a lot of kelp,4,4,4,2,4,,5,5,5,3,Was difficult to assess because of fast current,No,No,No,No,No,No,No,No,No,No,No,No,Was difficult to assess because of the fast current,
29,05/24/2024,Portage Canal,Rip Rap,HDKH,Yes,13:00,13:50,0,2.0,3.0,4.0,,Not a lot of kelp. Saw one unhealthly individual,4,4,4,2,4,Saw the most kelp crabs here and more pisasters,5,5,5,3,Need to verify ,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Need to verify,
30,07/26/2024,Portage Canal,High Density Kelp,HDKH,Yes,12:10,12:56,2,5.0,7.0,9.0,Yes,Kelp was so long it was difficult to estimate the length. Kelp was at the surface. Area by marker buoy full of 3-4m tall sargassum that was growing up bull kelp like ivy. Kelp here looked the healthiest though. ,4,3,4,5,4,Minimal growth seen on the pnuematocyst where the blades come out the bulb,4,4,5,3,1 juvenile chinook,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Large schools of stickleback. 2 small schools of sand lance,
31,07/26/2024,Portage Canal,Low Density Kelp,HDKH,Yes,12:10,12:56,0,5.0,6.0,,Yes,Some individuals had a lot of filamentous growth with small patches of ulva. Noticed more. ,3,3,4,5,4,Most epiphytic growth seen here mostly filamentous brown algae and some ulva seen on pnuematocyst. ,4,3,4,3,"1 juvenile chinook, 2 adult unknown salmon, 3 searun cutthroat",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Small schools of herring, large schools of surf smelt, small schools of sand lance.",
32,07/26/2024,Portage Canal,Sandy Area,HDKH,Yes,12:10,12:56,0,5.0,,,,"Appeared healthy blades were disintegrating at the tips, some shortening",3,3,4,5,4,Minimal growth observed,4,3,4,3,7 cutthroat,No,No,No,Yes,No,No,No,No,No,No,No,No,Just saw shiner perch,
33,07/26/2024,Portage Canal,Rip Rap,HDKH,Yes,12:10,12:56,0,5.0,,,,"Appeared healthy blades were disintegrating at the tips, some shortening",3,3,4,5,4,"Minimal growth observed, mostly filamentous brown algae",4,3,4,3,Saw no salmon,No,No,No,No,No,No,No,Yes,Yes,No,No,No,2 small schools of sand lance. 1 small school of surf smelt. ,
34,08/13/2024,Portage Canal,High Density Kelp,HDKH,Yes,10:54,11:40,4,5.0,7.0,9.0,Yes,"Kelp at surface. Sargassum observed growing up the kelp like ivy. Some blades missing from bulb. Holes in blades, some shortening. ",4,3,4,5,4,Some filamentous growth seen on the top of the pnuematocyst by where the blades attach. Multiple kelp crabs on the kelp seen. Small bryozoan patches seen on some. ,4,4,4,3,Saw no salmon,No,No,No,No,No,No,Yes,No,No,No,No,No,Large school of herring in kelp underneath the blades.,
35,08/13/2024,Portage Canal,Low Density Kelp,HDKH,Yes,10:54,11:40,0,4.0,5.0,6.0,Yes,Some kelp at the surface. Sori seen but alot has fallen off. Lots of holes in blades and some shortening. ,3,3,4,5,4,Significant filamentous growth on bulb and down the stipe. Filamentous growth pretty long. Ulva growth seen on bulb. ,4,3,3,3,"2 large searun cuttthroat, 1 unknown salmon",No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,"Large school of herring x2, small school of smelt x2, mixed school of smelt and sand lance ",
36,08/13/2024,Portage Canal,Sandy Area,HDKH,Yes,10:54,11:40,0,,,,,Kelp that was previously there is now gone. ,,,,,,No kelp seen,,,,,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,Only saw shiner and surf perch,
37,08/13/2024,Portage Canal,Rip Rap,HDKH,Yes,10:54,11:40,0,5.0,,,,Only a handful of individuals observed. ,3,3,4,5,4,Minimal growth observed,4,3,4,3,1 large unknown salmon,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,"Medium school herring, medium school surf smelt",
38,08/08/2024,Portage Canal,High Density Kelp,HDKH,Yes,11:25,12:00,0,5.0,7.0,9.0,Yes,Sargassum present and very apparent in the eddy area. Some blades missing and the tips are starting to shorten and disintegrating.,4,3,4,5,4,Filamentous growth seen on some individuals at the top of the bulb. ,4,4,4,3,7 juvenile Chinook,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Medium school herring; medium school surf smelt; large school herring; massive school of herring/surf smelt foraging. ,
39,08/08/2024,Portage Canal,Low Density Kelp,HDKH,Yes,11:25,12:00,0,4.0,5.0,6.0,Yes,"Holes in blades and shortening. Seems like not as many individuals here as previous weeks. Most kelp has growth, filamentous, and ulva growth. ",3,3,4,5,4,Filamentous and ulva growth observed on most. ,4,3,3,3,Saw no salmon,No,No,No,No,No,No,No,No,Yes,No,No,No,A ton of surf smelt,
40,08/08/2024,Portage Canal,Sandy Area,HDKH,Yes,11:25,12:00,0,5.0,,,Yes,"Still decently healthy, blades were disintegrating and shortening",3,3,4,5,4,"Minimal growth observed, mostly brown filamentous",4,3,4,3,3 adult unknown; large school of juvenile chinook; 2 adult cutthroat; 2 adult coho,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,3 Large schools of young of the year herring; school of surf smelt; 2 medium school of surf smelt; school of surf smelt,
41,08/08/2024,Portage Canal,Rip Rap,HDKH,Yes,11:25,12:00,0,4.0,5.0,6.0,Yes,Some shortening on blades,3,3,4,5,4,Minimal growth of brown filamentous algae,4,3,4,3,Large school of juvenile Chinook; 4 more non-schooled chinook,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No forage fish seen,
42,08/23/2024,Portage Canal,High Density Kelp,HDKH,Yes,11:42,12:40,0,3.0,5.0,8.0,Yes,"Not as much filamentous growth on stipe as other areas, but most individuals have peach-featherlike algae growing on top of bulb. Sori is still visible. ",3,3,4,5,3,"Kelps closer to the shore habe more growth on bulb and stipe. Kelp crabs seen on most blades, sometimes 5+ crabs on one kelp. ",4,3,4,3,Saw no salmon,No,No,No,No,No,No,Yes,No,No,No,No,No,Small schoo of herring; multiple schools of herring,Originial datasheet lost. Had to recreate from remote pics and previous snorkel survey datasheets close in time to 8/23. Referenced 9/5 and 8/13 sheets. Sargassum still present in high density eddy area. 
43,08/23/2024,Portage Canal,Low Density Kelp,HDKH,Yes,11:42,12:40,0,3.0,5.0,7.0,Yes,"Heavy ulva and filamentous growth, some covers the entire stipe. There is long sargassum present. Kelp appears healthier with less growth as we go north. ",2,2,3,5,2,Kelp crabs seen on all observed individuals. ,3,2,2,3,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
44,08/23/2024,Portage Canal,Sandy Area,HDKH,Yes,11:42,12:40,0,4.0,5.0,,No,"Most of the kelp has disappeared only a few remain, some with stipe only. Bulb and blades are gone. Sori still visible. ",2,2,3,5,2,Growth see on the few kelps remaining.,3,2,2,3,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
45,08/23/2024,Portage Canal,Rip Rap,HDKH,Yes,11:42,12:40,0,4.0,5.0,7.0,No,"Most kelp has disappeared, few individuals remain. Sori still visible. ",2,2,3,5,2,Long brown filamentous growth along stipe and bulb,3,2,2,3,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
46,09/05/2024,Portage Canal,High Density Kelp,HDKH,Yes,11:18,12:10,4,3.0,5.0,7.0,Yes,"Sargassum growing up stipes appears not as thick. Blades are shortening, some mid-water kelps don't have blades attached. ",3,3,4,5,3,"Filamentous growth seen on most individuals, about 80%. Growth not as thick in area between marker buoy and bridge. ",4,3,4,3,Saw no salmon,No,No,No,No,No,No,Yes,No,No,No,No,No,Medium school of herring,"Way fewer salmon and forage fish observed. Starfish all look healthy. Turkish towl at depth looks wonderful. Seems like the sargassum isn't as dense in areas, like it's thinning. "
47,09/05/2024,Portage Canal,Low Density Kelp,HDKH,Yes,11:18,12:10,1,3.0,5.0,7.0,Yes,Kelp stipes are more squiggly and misshapen. Some individuals no longer have blades. A lot less individuals overall. ,2,2,3,5,2,"Thick filamentous growth seen on all individuals, all the way up the stipe. ",3,2,2,3,Saw no salmon,No,No,No,No,No,No,Yes,No,No,No,No,No,"Medium school of herring, had different size classes in school. ",
48,09/05/2024,Portage Canal,Sandy Area,HDKH,Yes,11:18,12:10,0,4.0,5.0,,No,A lot of kelp is no longer there. The overall density as decreased and can only condition what is left. ,2,2,3,5,2,Long filamentous growth and white-ish brown algae. Bryozoa patches on blades. ,3,2,2,3,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
49,09/05/2024,Portage Canal,Rip Rap,HDKH,Yes,11:18,12:10,0,4.0,5.0,7.0,No,A lot of kelp is no longer there. The overall density as decreased and can only condition what is left. Most individuals had no blades. ,2,2,3,5,2,Long filamentous growth. Bryozoa patches on blades. ,3,2,2,3,Saw no salmon,No,No,No,No,No,No,No,No,Yes,Yes,No,No,"Small school of surf smelt, small school of stickleback.",
50,09/27/2024,Portage Canal,High Density Kelp,HD,Yes,14:02,14:37,0,4.0,5.0,8.0,Yes,"In the high density eddy area 50% observed with no blades, the other 50% had very short blades with some spore patches. High density high-flow area the kelp looked much healthier with lots of sori. ",3,2,3,5,3,Bryozoa patches observed growing on bulb where blades attach.,3,2,5,3,Saw no salmon,No,No,No,No,No,No,No,Yes,Yes,No,No,No,"Medium school of sand lance, mall school of small surf smelt, small school sand lance, large school sand lance",Can really notice a difference in the kelp north of the marker buoy. 
51,09/27/2024,Portage Canal,Low Density Kelp,HD,Yes,14:02,14:37,0,4.0,5.0,7.0,Yes,"Saw very little kelp, could be due to high tide. Kelp observed was at the surface. ",3,3,3,5,3,Long filamentous growth. Small bryozoa patches on blades. ,3,3,5,3,Saw no salmon,No,No,No,No,No,No,Yes,No,Yes,No,No,No,"medium school of small herring, small school of surf smelt. ",
52,09/27/2024,Portage Canal,Sandy Area,HD,Yes,14:02,14:37,,,,,,Observed no kelp. Could have been difficult to see due to the high tide. ,,,,,,Observed no kelp. Could have been difficult to see due to the high tide. ,,,,,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
53,09/27/2024,Portage Canal,Rip Rap,HD,Yes,14:02,14:37,,,,,,Observed no kelp. Could have been difficult to see due to the high tide. ,,,,,,Observed no kelp. Could have been difficult to see due to the high tide. ,,,,,Saw no salmon,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Small school of large surf smelt. 1 herring. ,"Rip rap zone: 1 large rockfish, 1 surf smelt and lots of shiner perch. Small school of large surf smelt. "
54,10/11/2024,Portage Canal,High Density Kelp,HDKH,Yes,10:30,11:36,6,6.0,7.0,9.0,Yes,Kelp was too long to actually estimate length. Most kelp blades are very degraded and shortening and have holes. Nearshore kelps have lost all blades. Cann tell kelp is starting to senecse. Sori is starting to fall off. ,3,3,4,4,4,"All observed individuals have at least some degree of epiphytic growth, mostly alga. Kelp crabs seen through out.",3,1,1,3,Saw no salmon,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Medium schools of herring and sand lance,"Nearshore: almost all kelp lost all of their blades. A lot of epiphytic alga growth, mostly long filamentous and peach-colored feathery alga. 

Eddy: more bryozoa growth on the stipe and bulb and especially down by the holdfast, which is the depth that the highly colonized understory kelps area. "
55,10/11/2024,Portage Canal,Low Density Kelp,HDKH,Yes,10:30,11:36,7,6.0,7.0,8.0,Yes,"Difficult to estimate length due to how big. 5 individuals observed, one without any blades. Took GPS coordinates of kelps we could see at the surface. Obviously so much kelp has died, not much left. ",2,3,4,3,1,A lot of epiphytic growth seen on the remaining kelps. ,1,1,1,2,1 cutthroat,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Large schools of sand lance and herring slightly dispersed. Medium school of surf smelt. ,Almost all kelp in low density area has disappeared. Only observed 5 kelps. 
56,10/11/2024,Portage Canal,Sandy Area,HDKH,Yes,10:30,11:36,2,,,,,No kelp seen. ,,,,,,No kelp seen. ,,,,,Saw no salmon,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Medium dispersed schools of herring and sand lance.,
57,10/11/2024,Portage Canal,Rip Rap,HDKH,Yes,10:30,11:36,0,,,,,No kelp seen. ,,,,,,No kelp seen. ,,,,,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
